acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
7.785,8.238,0.966,1.977,0.404,0.982,2.892,1.206,25768.338993999998
7.785,8.238,0.966,4.876,0.111,0.982,2.892,1.206,26766.343708
7.785,8.238,0.966,4.876,0.404,0.697,2.892,1.206,20184.215458000002
7.785,8.238,0.966,4.876,0.404,0.982,0.818,1.206,26582.617686999998
7.785,8.238,0.966,4.876,0.404,0.982,2.892,1.255,26684.04177
7.785,6.199,1.026,1.977,0.111,0.697,0.818,1.255,26028.626325999998
6.473,8.238,1.026,1.977,0.111,0.697,0.818,1.255,25186.841119
6.473,6.199,0.966,1.977,0.111,0.697,0.818,1.255,24810.675988
6.473,6.199,1.026,4.876,0.111,0.697,0.818,1.255,24983.663771
6.473,6.199,1.026,1.977,0.404,0.697,0.818,1.255,25775.840737
6.473,6.199,1.026,1.977,0.111,0.982,0.818,1.255,26309.509112
6.473,6.199,1.026,1.977,0.111,0.697,2.892,1.255,25129.375705
6.473,6.199,1.026,1.977,0.111,0.697,0.818,1.206,19175.541634
6.473,6.199,1.026,1.977,0.111,0.697,0.818,1.255,18002.341577
4.785,11.238,2.066,2.226,0.904,0.482,5.842,2.456,25810.947488
9.473,11.238,2.066,2.226,0.904,0.482,5.842,2.456,27222.275643
4.785,9.199,2.066,2.226,0.904,0.482,5.842,2.456,25318.458246
4.785,11.238,2.126,2.226,0.904,0.482,5.842,2.456,26195.015791
4.785,11.238,2.066,4.627,0.904,0.482,5.842,2.456,25638.829117
4.785,11.238,2.066,2.226,0.611,0.482,5.842,2.456,25452.18802
4.785,11.238,2.066,2.226,0.904,0.197,5.842,2.456,26075.714678
4.785,11.238,2.066,2.226,0.904,0.482,3.768,2.456,26127.850446
4.785,11.238,2.066,2.226,0.904,0.482,5.842,0.005,26046.062873
4.785,9.199,2.126,4.627,0.611,0.197,3.768,0.005,25677.75403
9.473,11.238,2.126,4.627,0.611,0.197,3.768,0.005,27384.46167
9.473,9.199,2.066,4.627,0.611,0.197,3.768,0.005,27934.142405
9.473,9.199,2.126,2.226,0.611,0.197,3.768,0.005,27366.357303
9.473,9.199,2.126,4.627,0.904,0.197,3.768,0.005,27635.357288
9.473,9.199,2.126,4.627,0.611,0.482,3.768,0.005,27168.791455
9.473,9.199,2.126,4.627,0.611,0.197,5.842,0.005,27363.899986
9.473,9.199,2.126,4.627,0.611,0.197,3.768,2.456,26570.155329999998
