acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
5.2,7.1,1.1,1.2,0.3,0.3,1.0,1.7,25913.979369
8.3,7.1,1.1,1.2,0.3,0.3,1.0,1.7,26501.161418
5.2,7.3,1.1,1.2,0.3,0.3,1.0,1.7,25753.222155
5.2,7.1,2.0,1.2,0.3,0.3,1.0,1.7,25864.514413
5.2,7.1,1.1,5.0,0.3,0.3,1.0,1.7,26092.120345
5.2,7.1,1.1,1.2,0.8,0.3,1.0,1.7,25495.197705
5.2,7.1,1.1,1.2,0.3,0.6,1.0,1.7,25321.100305
5.2,7.1,1.1,1.2,0.3,0.3,1.9,1.7,25470.565382
5.2,7.1,1.1,1.2,0.3,0.3,1.0,2.0,26133.741657
5.2,7.3,2.0,5.0,0.8,0.6,1.9,2.0,25301.496758
8.3,7.1,2.0,5.0,0.8,0.6,1.9,2.0,27027.693350999998
8.3,7.3,1.1,5.0,0.8,0.6,1.9,2.0,26184.927569
8.3,7.3,2.0,1.2,0.8,0.6,1.9,2.0,25115.026111
8.3,7.3,2.0,5.0,0.3,0.6,1.9,2.0,26747.858263000002
8.3,7.3,2.0,5.0,0.8,0.3,1.9,2.0,26480.161258
8.3,7.3,2.0,5.0,0.8,0.6,1.0,2.0,26821.451642
8.3,7.3,2.0,5.0,0.8,0.6,1.9,1.7,26677.021303
8.3,7.3,2.0,5.0,0.8,0.6,1.9,2.0,26174.582413
8.2,10.1,2.2,3.9,0.8,0.8,4.0,0.4,26904.958077
5.3,10.1,2.2,3.9,0.8,0.8,4.0,0.4,25760.442559000003
8.2,10.3,2.2,3.9,0.8,0.8,4.0,0.4,26228.526515999998
8.2,10.1,0.9,3.9,0.8,0.8,4.0,0.4,27011.373652000002
8.2,10.1,2.2,2.3,0.8,0.8,4.0,0.4,27621.943663
8.2,10.1,2.2,3.9,0.3,0.8,4.0,0.4,26304.152542
8.2,10.1,2.2,3.9,0.8,0.1,4.0,0.4,26929.441817
8.2,10.1,2.2,3.9,0.8,0.8,4.9,0.4,26457.723595
8.2,10.1,2.2,3.9,0.8,0.8,4.0,0.8,26491.593835
8.2,10.3,0.9,2.3,0.3,0.1,4.9,0.8,26572.234092
5.3,10.1,0.9,2.3,0.3,0.1,4.9,0.8,22582.219632
5.3,10.3,2.2,2.3,0.3,0.1,4.9,0.8,25976.887579
5.3,10.3,0.9,3.9,0.3,0.1,4.9,0.8,19858.833120000003
5.3,10.3,0.9,2.3,0.8,0.1,4.9,0.8,25825.773656999998
5.3,10.3,0.9,2.3,0.3,0.8,4.9,0.8,23012.340968999997
5.3,10.3,0.9,2.3,0.3,0.1,4.0,0.8,25697.767942
5.3,10.3,0.9,2.3,0.3,0.1,4.9,0.4,26556.935647000002
5.3,10.3,0.9,2.3,0.3,0.1,4.9,0.8,26010.123713
9.7,8.6,0.6,2.6,0.6,0.5,2.5,1.0,27512.801665
6.8,8.6,0.6,2.6,0.6,0.5,2.5,1.0,25366.885366000002
9.7,11.8,0.6,2.6,0.6,0.5,2.5,1.0,26696.872201
9.7,8.6,0.3,2.6,0.6,0.5,2.5,1.0,26937.997603
9.7,8.6,0.6,1.0,0.6,0.5,2.5,1.0,27378.797259
9.7,8.6,0.6,2.6,0.5,0.5,2.5,1.0,27461.956529
9.7,8.6,0.6,2.6,0.6,0.9,2.5,1.0,26633.182259
9.7,8.6,0.6,2.6,0.6,0.5,3.4,1.0,26865.300759
9.7,8.6,0.6,2.6,0.6,0.5,2.5,1.4,26801.566064
9.7,11.8,0.3,1.0,0.5,0.9,3.4,1.4,26817.024473999998
6.8,8.6,0.3,1.0,0.5,0.9,3.4,1.4,26348.747159
6.8,11.8,0.6,1.0,0.5,0.9,3.4,1.4,21890.777627
6.8,11.8,0.3,2.6,0.5,0.9,3.4,1.4,26618.399735
6.8,11.8,0.3,1.0,0.6,0.9,3.4,1.4,25738.637410000003
6.8,11.8,0.3,1.0,0.5,0.5,3.4,1.4,25948.127561
6.8,11.8,0.3,1.0,0.5,0.9,2.5,1.4,21839.061297
6.8,11.8,0.3,1.0,0.5,0.9,3.4,1.0,25670.064677000002
6.8,11.8,0.3,1.0,0.5,0.9,3.4,1.4,25943.160145
6.7,11.6,1.7,5.2,0.1,0.0,5.5,2.3,26153.253101000002
9.8,11.6,1.7,5.2,0.1,0.0,5.5,2.3,27421.213165
6.7,8.8,1.7,5.2,0.1,0.0,5.5,2.3,26347.845508
6.7,11.6,1.4,5.2,0.1,0.0,5.5,2.3,25692.474011000002
6.7,11.6,1.7,3.6,0.1,0.0,5.5,2.3,26242.22897
6.7,11.6,1.7,5.2,0.0,0.0,5.5,2.3,19249.785976
6.7,11.6,1.7,5.2,0.1,0.4,5.5,2.3,25897.753483
6.7,11.6,1.7,5.2,0.1,0.0,0.4,2.3,26521.314691
6.7,11.6,1.7,5.2,0.1,0.0,5.5,0.2,17640.600139
6.7,8.8,1.4,3.6,0.0,0.4,0.4,0.2,18074.541909
9.8,11.6,1.4,3.6,0.0,0.4,0.4,0.2,27702.533158
9.8,8.8,1.7,3.6,0.0,0.4,0.4,0.2,18997.798978000003
9.8,8.8,1.4,5.2,0.0,0.4,0.4,0.2,19913.141362000002
9.8,8.8,1.4,3.6,0.1,0.4,0.4,0.2,19443.217206
9.8,8.8,1.4,3.6,0.0,0.0,0.4,0.2,22141.563353999998
9.8,8.8,1.4,3.6,0.0,0.4,5.5,0.2,27344.21621
9.8,8.8,1.4,3.6,0.0,0.4,0.4,2.3,27176.814762
9.8,8.8,1.4,3.6,0.0,0.4,0.4,0.2,17535.312597
5.9,7.9,2.5,4.5,0.2,0.4,1.8,0.7,17217.433615
